Date,Open,High,Low,Close,Adj Close,Volume
8/1/2011,3.5375,3.6525,3.5075,3.6425,3.347038,101962000
8/2/2011,3.6175,3.845,3.605,3.605,3.31258,135643200
8/3/2011,3.6125,3.715,3.5775,3.7025,3.402171,76523600
8/4/2011,3.635,3.635,3.35,3.35,3.078264,97973200
8/5/2011,3.4275,3.47,3.15,3.2375,2.97489,127058800
8/8/2011,3.08,3.19,2.9625,2.9825,2.740575,108418000
8/9/2011,3.04,3.2375,3,3.2325,2.970296,132983200
8/10/2011,3.1375,3.2275,3.0675,3.085,2.83476,114005200
8/11/2011,3.085,3.3975,3.085,3.3525,3.080562,107879200
8/12/2011,3.71,3.715,3.1675,3.22,2.958811,319578400
8/15/2011,3.2525,3.35,3.235,3.3425,3.071373,86415200
8/16/2011,3.305,3.35,3.1875,3.2475,2.984078,71686800
8/17/2011,3.2575,3.3125,3.16,3.2025,2.942729,55332800
8/18/2011,3.0575,3.0875,2.95,2.985,2.742872,80256400
8/19/2011,2.935,3.0975,2.9125,2.9325,2.69463,76133200
8/22/2011,3.015,3.05,2.9525,2.985,2.742872,61187600
8/23/2011,3.0575,3.31,3.0525,3.3075,3.039212,93831200
8/24/2011,3.3,3.31,3.175,3.26,2.995565,68750000
8/25/2011,3.195,3.2525,3.115,3.12,2.866921,69096800
8/26/2011,3.1075,3.285,3.0525,3.2525,2.988673,73266000
8/29/2011,3.345,3.3525,3.2675,3.34,3.069075,60152800
8/30/2011,3.3175,3.4475,3.295,3.42,3.142587,68476000
8/31/2011,3.445,3.48,3.3,3.3275,3.05759,70580800
9/1/2011,3.3725,3.445,3.3175,3.32,3.050697,76231200
9/2/2011,3.245,3.29,3.205,3.23,2.967998,47135600
9/6/2011,3.125,3.3025,3.095,3.295,3.027725,69624800
9/7/2011,3.5625,3.66,3.465,3.5625,3.273527,160662000
9/8/2011,3.5275,3.6125,3.4875,3.545,3.257447,88016400
9/9/2011,3.515,3.61,3.44,3.47,3.188531,86982800
9/12/2011,3.4225,3.5825,3.4225,3.5525,3.264339,91648000
9/13/2011,3.5825,3.65,3.5275,3.6325,3.337849,85383600
9/14/2011,3.7275,3.8675,3.725,3.82,3.510141,154719200
9/15/2011,3.905,3.925,3.84,3.875,3.560679,75290800
9/16/2011,3.8825,4.025,3.845,3.865,3.55149,139158800
9/19/2011,3.8,3.8275,3.6875,3.785,3.47798,96820400
9/20/2011,3.8325,3.8475,3.67,3.6875,3.388389,79243600
9/21/2011,3.7075,3.7725,3.615,3.6175,3.324066,71525200
9/22/2011,3.475,3.48,3.3125,3.3775,3.103534,131463200
9/23/2011,3.3575,3.545,3.3375,3.4475,3.167857,101144000
9/26/2011,3.49,3.5,3.3,3.455,3.174748,97212400
9/27/2011,3.5425,3.5725,3.4325,3.46,3.179342,78138800
9/28/2011,3.4675,3.555,3.3,3.355,3.082859,123653200
9/29/2011,3.415,3.4725,3.1875,3.2725,3.007051,86641600
9/30/2011,3.22,3.2375,3.1225,3.1275,2.873812,67778400
10/3/2011,3.0875,3.185,2.9525,2.9525,2.713008,94989600
10/4/2011,2.88,3.225,2.8675,3.225,2.963404,136154800
10/5/2011,3.2175,3.37,3.1525,3.34,3.069075,85670800
